Country,Territory,Unit,RHdaily,Date
USA,United States,%,70.31593851889333,1-2021
USA,United States,%,66.91517434801374,2-2021
USA,United States,%,59.75710702711536,3-2021
USA,United States,%,55.25280367533366,4-2021
USA,United States,%,58.88046843005765,5-2021
USA,United States,%,57.87583249409993,6-2021
USA,United States,%,62.51832605177356,7-2021
USA,United States,%,63.25605946202432,8-2021
USA,United States,%,60.509766260782875,9-2021
USA,United States,%,66.87994913901052,10-2021
USA,United States,%,63.12518424987793,11-2021
USA,United States,%,68.70631297942131,12-2021
